Altium Designer Pick and Place Locations
E:\Documents\CanAssist\Altium\TSI_SAMP_SAMI\Project Outputs for TSI_SAMP_SAMI_V3.4\Generate Files\Pick Place\Pick Place for TSI_SAMP_SAMI_V3.4(SAMI_V3.5).txt

========================================================================================================================
File Design Information:

Date:       04-05-26
Time:       17:05
Revision:   fd7cb1f3b204e648983c852689a63004ab86bdb5
Variant:    SAMI_V3.5
Units used: mil

Designator Comment                       Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                  
R52        100K                          BottomLayer Res_0603_M                         6144.988      1853.358      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R53        100K                          BottomLayer Res_0603_M                         6145.988      1784.358      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R42        100K                          BottomLayer Res_0603_M                         5393.701      2421.260      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R41        100K                          BottomLayer Res_0603_M                         5393.701      2366.142      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R40        100K                          BottomLayer Res_0603_M                         5393.701      2311.024      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R39        100K                          BottomLayer Res_0603_M                         5393.701      2255.905      180      "Res Thick Film 0603 100K Ohm 5% 0.33W(1/3W) ±200ppm/°C Pad SMD Automotive T/R"                                              
R57        10R                           BottomLayer Res_0603_M                         5728.988      1719.358      270      "10 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"                                    
R58        1K                            BottomLayer Res_0603_M                         19.555        -751.641      0        "1 kOhms ±1% 0.25W, 1/4W Chip Resistor 0603 (1608 Metric) Pulse Withstanding Thick Film"                                     
F2         "FERRITE BEAD"                BottomLayer FER_8A_4mOHM_0603                  6112.897      1728.193      180      "8.5 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 8A 4mOhm"                                                   
F1         "FERRITE BEAD"                BottomLayer FER_8A_4mOHM_0603                  5992.126      1673.228      180      "8.5 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 8A 4mOhm"                                                   
DS1        LCD_Screen_16x2               TopLayer    LCD_Screen_16x2                    2814.488      2245.858      0        "SPARKFUN 16X2 SERLCD - RGB TEXT"                                                                                            
D5         RED_0603                      TopLayer    LED_0603_SMD                       5081.506      2870.858      180      "LED RED CLEAR SMD"                                                                                                          
D6         RED_0603                      BottomLayer LED_0603_SMD                       -94.012       -645.124      270      "LED RED CLEAR SMD"                                                                                                          
C45        0.1uF                         BottomLayer Cap_0603_M                         4258.988      1143.358      270      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C43        0.1uF                         BottomLayer Cap_0603_M                         3614.173      582.677       0        "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C49        15pF                          BottomLayer Cap_0603_M                         5748.000      2575.500      270      ""                                                                                                                           
C48        15pF                          BottomLayer Cap_0603_M                         5494.488      2533.804      0        ""                                                                                                                           
C57        1uF                           BottomLayer Cap_0603_M                         5432.988      1898.858      270      "0603 1 uF 50 V ±10% Tolerance X5R Surface Mount Multilayer Ceramic Capacitor"                                               
C50        0.1uF                         BottomLayer Cap_0603_M                         5158.988      2018.858      315      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C47        0.1uF                         BottomLayer Cap_0603_M                         5256.488      1922.858      135      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C56        0.1uF                         BottomLayer Cap_0603_M                         5529.488      1877.858      180      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C62        0.047uF                       BottomLayer Cap_0603_M                         5732.488      1594.858      90       "CAP CER 0.047UF 50V X7R 0603"                                                                                               
C39        10uF                          BottomLayer Cap_0603_M                         6039.370      2094.488      270      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C38        10uF                          BottomLayer Cap_0603_M                         6120.988      2290.858      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C35        10uF                          BottomLayer Cap_0603_M                         6244.095      2082.677      90       "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C40        0.1uF                         BottomLayer Cap_0603_M                         1354.331      3519.685      270      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C63        10uF                          TopLayer    Cap_0603_M                         1129.921      -704.724      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C23        0.1uF                         BottomLayer Cap_0603_M                         5413.988      2094.858      90       "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C21        10uF                          BottomLayer Cap_0603_M                         5778.988      2376.358      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C18        0.1uF                         BottomLayer Cap_0603_M                         297.488       -208.642      270      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
C15        10uF                          BottomLayer Cap_0603_M                         4303.150      334.646       0        "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C12        10uF                          BottomLayer Cap_0603_M                         5918.988      1872.858      180      "Yageo - CC0603MRX5R7BB106 - CAP, MLCC, X5R, 10uF, 16V, 0603"                                                                
C10        0.1uF                         BottomLayer Cap_0603_M                         5731.988      1813.858      180      "0603 100 nF 25 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor"                                                
